Model,Training_Type,Train_F1,Val_F1,Test_F1,Δ1_Train→Val,Δ2_Val→Test
SAINT-XGB-Stack,Balanced,1.0,0.934,0.9561,0.066,-0.0221
XGBoost,Balanced,1.0,0.93,0.9525,0.07,-0.0225
SAINT,Balanced,0.9951,0.9294,0.9439,0.0657,-0.0145
SVC,Balanced,0.9921,0.9122,0.928,0.0799,-0.0158
KNN,Balanced,0.9966,0.8581,0.848,0.1385,0.0101
BBAG,Imbalanced,0.7692,0.7659,0.819,0.0033,-0.0531
AdaBoost,Balanced,0.8712,0.7659,0.8048,0.1053,-0.0389
LDA,Balanced,0.9252,0.7057,0.7716,0.2195,-0.0659
NaiveBayes,Imbalanced,0.7193,0.6753,0.7367,0.044,-0.0614
EasyEnsemble,Imbalanced,0.503,0.5379,0.5954,-0.0349,-0.0575
RUSBoost,Imbalanced,0.5147,0.4884,0.5039,0.0263,-0.0155
