Model,Split,Training_Type,Accuracy,F1_macro,F1_weighted,Precision,Recall,Kappa,Train_Time_s,ROC_AUC
KNN,Train,Balanced,0.9966,0.9966,0.9966,0.9966,0.9966,0.9954,0.3,
KNN,Validation,Balanced,0.9474,0.8581,0.9475,0.856,0.8602,0.9078,0.3,0.9761
KNN,Test,Balanced,0.9316,0.848,0.9316,0.8476,0.8484,0.8866,0.3,0.9663
KNN,Train,Imbalanced,0.9836,0.8737,0.9835,0.9841,0.8277,0.969,0.1,
KNN,Validation,Imbalanced,0.9625,0.8129,0.9617,0.9677,0.7711,0.9337,0.1,0.9943
KNN,Test,Imbalanced,0.9459,0.7882,0.9436,0.955,0.751,0.9095,0.1,0.9891
KNN,Train,Balanced,0.9966,0.9966,0.9966,0.9966,0.9966,0.9954,0.4,
KNN,Validation,Balanced,0.9474,0.8581,0.9475,0.856,0.8602,0.9078,0.4,0.9761
KNN,Test,Balanced,0.9316,0.848,0.9316,0.8476,0.8484,0.8866,0.4,0.9663
KNN,Train,Imbalanced,0.9836,0.8737,0.9835,0.9841,0.8277,0.969,0.2,
KNN,Validation,Imbalanced,0.9625,0.8129,0.9617,0.9677,0.7711,0.9337,0.2,0.9943
KNN,Test,Imbalanced,0.9459,0.7882,0.9436,0.955,0.751,0.9095,0.2,0.9891
SVC,Train,Balanced,0.9921,0.9921,0.9921,0.9922,0.992,0.9895,105.5,
SVC,Validation,Balanced,0.98,0.9122,0.9803,0.8775,0.9656,0.9651,105.5,0.9994
SVC,Test,Balanced,0.9807,0.928,0.981,0.9058,0.9569,0.9681,105.5,0.9992
SVC,Train,Imbalanced,0.9803,0.9163,0.9806,0.8691,0.9869,0.9631,46.9,
SVC,Validation,Imbalanced,0.98,0.909,0.9804,0.8731,0.9606,0.9651,46.9,0.9996
SVC,Test,Imbalanced,0.975,0.9,0.9758,0.8682,0.9474,0.9589,46.9,0.9997
NaiveBayes,Train,Balanced,0.8578,0.8563,0.857,0.8599,0.8568,0.8104,0.0,
NaiveBayes,Validation,Balanced,0.7507,0.5941,0.7637,0.5695,0.7873,0.5865,0.0,0.9189
NaiveBayes,Test,Balanced,0.7364,0.6367,0.7477,0.6134,0.7931,0.5831,0.0,0.915
NaiveBayes,Train,Imbalanced,0.7965,0.7193,0.8028,0.6879,0.7719,0.6405,0.0,
NaiveBayes,Validation,Imbalanced,0.7934,0.6753,0.7984,0.6555,0.7147,0.6488,0.0,0.9298
NaiveBayes,Test,Imbalanced,0.7731,0.7367,0.7781,0.7347,0.7511,0.6338,0.0,0.925
AdaBoost,Train,Balanced,0.8679,0.8712,0.8708,0.8934,0.8681,0.8238,9.0,
AdaBoost,Validation,Balanced,0.8751,0.7659,0.8795,0.7224,0.8387,0.7889,9.0,0.9268
AdaBoost,Test,Balanced,0.8728,0.8048,0.877,0.7707,0.8587,0.7964,9.0,0.9419
AdaBoost,Train,Imbalanced,0.9375,0.6815,0.9379,0.6864,0.6793,0.8834,2.2,
AdaBoost,Validation,Imbalanced,0.929,0.6877,0.928,0.6845,0.6914,0.8759,2.2,0.9609
AdaBoost,Test,Imbalanced,0.9315,0.6936,0.9282,0.688,0.7002,0.8868,2.2,0.9745
LDA,Train,Balanced,0.926,0.9252,0.9257,0.9317,0.9253,0.9013,0.1,
LDA,Validation,Balanced,0.8261,0.7057,0.8332,0.6632,0.8827,0.7124,0.1,0.962
LDA,Test,Balanced,0.8334,0.7716,0.8383,0.7297,0.8911,0.7365,0.1,0.9679
LDA,Train,Imbalanced,0.9265,0.709,0.9259,0.7048,0.7378,0.8618,0.0,
LDA,Validation,Imbalanced,0.9034,0.6788,0.9014,0.7185,0.6575,0.8297,0.0,0.9787
LDA,Test,Imbalanced,0.8998,0.6585,0.8956,0.7048,0.646,0.8325,0.0,0.9817
EasyEnsemble,Train,Imbalanced,0.5758,0.503,0.5648,0.5579,0.7848,0.3399,3.1,
EasyEnsemble,Validation,Imbalanced,0.5924,0.5379,0.5786,0.5975,0.7676,0.375,3.1,0.7977
EasyEnsemble,Test,Imbalanced,0.6199,0.5954,0.6062,0.6368,0.7796,0.4333,3.1,0.836
RUSBoost,Train,Imbalanced,0.6968,0.5147,0.7129,0.5061,0.5811,0.4974,0.1,
RUSBoost,Validation,Imbalanced,0.6476,0.4884,0.6604,0.4802,0.5459,0.4397,0.1,0.8812
RUSBoost,Test,Imbalanced,0.6543,0.5039,0.6614,0.5087,0.5506,0.4739,0.1,0.891
BBAG,Train,Imbalanced,0.9564,0.7692,0.9583,0.7283,0.9684,0.9193,0.9,
BBAG,Validation,Imbalanced,0.9386,0.7659,0.9436,0.7376,0.9362,0.8939,0.9,0.9939
BBAG,Test,Imbalanced,0.9431,0.819,0.9477,0.7829,0.9447,0.9071,0.9,0.995
SAINT,Train,Balanced,0.9952,0.9951,0.9952,0.9952,0.9951,0.9936,1083.1,
SAINT,Validation,Balanced,0.9726,0.9294,0.9726,0.9032,0.9691,0.9517,1083.1,0.9979
SAINT,Test,Balanced,0.9708,0.9439,0.9708,0.9226,0.9734,0.9514,1083.1,0.9986
SAINT,Train,Imbalanced,0.9864,0.8933,0.9864,0.8701,0.9307,0.9742,193.1,
SAINT,Validation,Imbalanced,0.9829,0.9098,0.9827,0.9308,0.8917,0.9698,193.1,0.9989
SAINT,Test,Imbalanced,0.9825,0.9268,0.9823,0.9435,0.9122,0.9709,193.1,0.9991
XGBoost,Train,Balanced,1.0,1.0,1.0,1.0,1.0,1.0,7.9,
XGBoost,Validation,Balanced,0.9937,0.93,0.9939,0.8969,0.9837,0.989,7.9,0.9999
XGBoost,Test,Balanced,0.9934,0.9525,0.9937,0.9267,0.9888,0.9891,7.9,0.9999
SAINT-XGB-Stack,Train,Balanced,1.0,1.0,1.0,1.0,1.0,1.0,4088.6,
SAINT-XGB-Stack,Validation,Balanced,0.9927,0.934,0.9929,0.9023,0.9834,0.9872,4088.6,0.9999
SAINT-XGB-Stack,Test,Balanced,0.9935,0.9561,0.9937,0.9316,0.9894,0.9893,4088.6,0.9999
