Model,Split,Training_Type,Accuracy,F1_macro,F1_weighted,Precision,Recall,Kappa,Train_Time_s,ROC_AUC
KNN,Train,Balanced,0.9981,0.9981,0.9981,0.9981,0.9981,0.9974,1.5,
KNN,Validation,Balanced,0.9582,0.8594,0.9584,0.854,0.865,0.915,1.5,0.978
KNN,Test,Balanced,0.9381,0.7473,0.9393,0.7273,0.8862,0.8839,1.5,0.9697
KNN,Train,Imbalanced,0.9887,0.8575,0.9886,0.9851,0.8091,0.9734,0.2,
KNN,Validation,Imbalanced,0.9762,0.7412,0.9755,0.9721,0.7193,0.9509,0.2,0.9966
KNN,Test,Imbalanced,0.9543,0.7156,0.9529,0.963,0.6873,0.9128,0.2,0.9904
SVC,Train,Balanced,0.9936,0.9936,0.9936,0.9937,0.9936,0.9915,747.9,
SVC,Validation,Balanced,0.9815,0.9453,0.9817,0.9158,0.98,0.9626,747.9,0.9997
SVC,Test,Balanced,0.9712,0.8043,0.9722,0.7718,0.9441,0.9462,747.9,0.999
SVC,Train,Imbalanced,0.9772,0.9669,0.9775,0.9488,0.9878,0.9476,247.1,
SVC,Validation,Imbalanced,0.974,0.9272,0.9744,0.9268,0.9318,0.9476,247.1,0.9998
SVC,Test,Imbalanced,0.9703,0.8632,0.9705,0.8429,0.887,0.9447,247.1,0.9993
NaiveBayes,Train,Balanced,0.8045,0.8056,0.8058,0.8185,0.8042,0.7394,0.1,
NaiveBayes,Validation,Balanced,0.7126,0.5426,0.7337,0.509,0.7827,0.4938,0.1,0.9099
NaiveBayes,Test,Balanced,0.7257,0.5383,0.7454,0.5262,0.7544,0.5291,0.1,0.8939
NaiveBayes,Train,Imbalanced,0.7685,0.6371,0.7839,0.5994,0.7141,0.5406,0.0,
NaiveBayes,Validation,Imbalanced,0.7681,0.6325,0.7783,0.6441,0.6548,0.5713,0.0,0.9202
NaiveBayes,Test,Imbalanced,0.7722,0.6168,0.779,0.6043,0.6577,0.589,0.0,0.8987
AdaBoost,Train,Balanced,0.8502,0.8506,0.8504,0.8816,0.8504,0.8003,30.8,
AdaBoost,Validation,Balanced,0.8832,0.8283,0.8878,0.7892,0.8844,0.7778,30.8,0.8809
AdaBoost,Test,Balanced,0.8562,0.7207,0.8611,0.6931,0.802,0.7416,30.8,0.8563
AdaBoost,Train,Imbalanced,0.9341,0.6614,0.9356,0.6899,0.6514,0.8531,6.6,
AdaBoost,Validation,Imbalanced,0.9268,0.6656,0.9276,0.6887,0.6573,0.8548,6.6,0.9591
AdaBoost,Test,Imbalanced,0.8959,0.6407,0.8963,0.6784,0.6255,0.8063,6.6,0.9315
LDA,Train,Balanced,0.8878,0.8874,0.8875,0.9037,0.8875,0.8504,0.3,
LDA,Validation,Balanced,0.7707,0.6734,0.7826,0.6341,0.7715,0.5957,0.3,0.9614
LDA,Test,Balanced,0.7795,0.6492,0.7907,0.6114,0.8236,0.6269,0.3,0.9591
LDA,Train,Imbalanced,0.9216,0.6736,0.9205,0.6568,0.768,0.8126,0.1,
LDA,Validation,Imbalanced,0.899,0.6681,0.8972,0.7165,0.6454,0.7892,0.1,0.976
LDA,Test,Imbalanced,0.8498,0.5908,0.8643,0.621,0.6538,0.7202,0.1,0.9346
EasyEnsemble,Train,Imbalanced,0.3768,0.3765,0.3389,0.4804,0.6601,0.1172,3.9,
EasyEnsemble,Validation,Imbalanced,0.3993,0.3889,0.3461,0.495,0.5752,0.1405,3.9,0.805
EasyEnsemble,Test,Imbalanced,0.4154,0.3799,0.3715,0.4967,0.5842,0.1608,3.9,0.7913
RUSBoost,Train,Imbalanced,0.5226,0.4346,0.5318,0.5683,0.618,0.2467,0.1,
RUSBoost,Validation,Imbalanced,0.5471,0.4555,0.5444,0.5726,0.4918,0.2891,0.1,0.7894
RUSBoost,Test,Imbalanced,0.5349,0.4424,0.5249,0.5814,0.5118,0.2875,0.1,0.7756
BBAG,Train,Imbalanced,0.9404,0.7992,0.9422,0.7328,0.9615,0.8668,1.2,
BBAG,Validation,Imbalanced,0.9411,0.845,0.9424,0.7887,0.9453,0.8831,1.2,0.9938
BBAG,Test,Imbalanced,0.9008,0.7234,0.9024,0.7028,0.8592,0.8149,1.2,0.983
SAINT,Train,Balanced,0.8976,0.8978,0.898,0.905,0.8976,0.8635,679.7,
SAINT,Validation,Balanced,0.9151,0.7951,0.9148,0.7697,0.904,0.8232,679.7,0.9784
SAINT,Test,Balanced,0.8735,0.6734,0.8759,0.6929,0.8744,0.7557,679.7,0.9231
SAINT,Train,Imbalanced,0.9291,0.6312,0.9383,0.6075,0.8918,0.8403,320.1,
SAINT,Validation,Imbalanced,0.9135,0.6476,0.924,0.6285,0.825,0.8286,320.1,0.9906
SAINT,Test,Imbalanced,0.8825,0.6167,0.9011,0.6294,0.7661,0.7864,320.1,0.9853
XGBoost,Train,Balanced,1.0,1.0,1.0,1.0,1.0,1.0,30.1,
XGBoost,Validation,Balanced,0.9987,0.9609,0.9987,0.9549,0.9674,0.9972,30.1,1.0
XGBoost,Test,Balanced,0.9961,0.9251,0.9961,0.921,0.9294,0.9927,30.1,0.9999
SAINT-XGB-Stack,Train,Balanced,0.9995,0.9995,0.9995,0.9995,0.9995,0.9993,3135.5,
SAINT-XGB-Stack,Validation,Balanced,0.9979,0.97,0.9979,0.9728,0.9673,0.9957,3135.5,1.0
SAINT-XGB-Stack,Test,Balanced,0.9934,0.947,0.9935,0.9237,0.9781,0.9877,3135.5,0.9998
