Model,Training_Type,Train_F1,Val_F1,Test_F1,Δ1_Train→Val,Δ2_Val→Test
SAINT-XGB-Stack,Balanced,0.9995,0.97,0.947,0.0295,0.023
XGBoost,Balanced,1.0,0.9609,0.9251,0.0391,0.0358
SVC,Imbalanced,0.9669,0.9272,0.8632,0.0397,0.064
KNN,Balanced,0.9981,0.8594,0.7473,0.1387,0.1121
BBAG,Imbalanced,0.7992,0.845,0.7234,-0.0458,0.1216
AdaBoost,Balanced,0.8506,0.8283,0.7207,0.0223,0.1076
SAINT,Balanced,0.8978,0.7951,0.6734,0.1027,0.1217
LDA,Balanced,0.8874,0.6734,0.6492,0.214,0.0242
NaiveBayes,Imbalanced,0.6371,0.6325,0.6168,0.0046,0.0157
RUSBoost,Imbalanced,0.4346,0.4555,0.4424,-0.0209,0.0131
EasyEnsemble,Imbalanced,0.3765,0.3889,0.3799,-0.0124,0.009
