Model,Split,Accuracy,F1_macro,F1_weighted,Precision,Recall,Kappa,ROC_AUC,Train_Time_s,Training_Type
Random Forest,Train,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,,66.2,Balanced
Random Forest,Validation,0.9943,0.9594,0.9944,0.9381,0.9861,0.99,0.9999,66.2,Balanced
Random Forest,Test,0.9947,0.9745,0.9947,0.9641,0.986,0.9912,0.9999,66.2,Balanced
Random Forest,Train,0.9993,0.9895,0.9993,0.9804,0.9994,0.9986,,15.0,Imbalanced
Random Forest,Validation,0.9944,0.9538,0.9944,0.9603,0.9476,0.9902,0.9999,15.0,Imbalanced
Random Forest,Test,0.9945,0.9587,0.9944,0.9728,0.9464,0.9908,0.9999,15.0,Imbalanced
XGBoost,Train,1.0,1.0,1.0,1.0,1.0,1.0,,9.9,Balanced
XGBoost,Validation,0.992,0.9366,0.9922,0.9021,0.9909,0.9859,0.9997,9.9,Balanced
XGBoost,Test,0.9911,0.9527,0.9913,0.9276,0.9872,0.9853,0.9997,9.9,Balanced
XGBoost,Train,1.0,1.0,1.0,1.0,1.0,1.0,,4.2,Imbalanced
XGBoost,Validation,0.995,0.9499,0.9951,0.9281,0.9781,0.9913,1.0,4.2,Imbalanced
XGBoost,Test,0.9942,0.9594,0.9942,0.9442,0.9778,0.9903,1.0,4.2,Imbalanced
LightGBM,Train,1.0,1.0,1.0,1.0,1.0,1.0,,15.0,Balanced
LightGBM,Validation,0.9929,0.9503,0.993,0.9204,0.9924,0.9875,0.9997,15.0,Balanced
LightGBM,Test,0.9916,0.952,0.9918,0.929,0.9821,0.9862,0.9995,15.0,Balanced
LightGBM,Train,0.9999,0.9999,0.9999,0.9998,0.9999,0.9997,,4.9,Imbalanced
LightGBM,Validation,0.9933,0.9275,0.9935,0.8964,0.9756,0.9883,0.9999,4.9,Imbalanced
LightGBM,Test,0.9932,0.949,0.9935,0.9247,0.9825,0.9888,0.9999,4.9,Imbalanced
MLP,Train,0.9989,0.9989,0.9989,0.9989,0.9989,0.9985,,63.8,Balanced
MLP,Validation,0.9915,0.9367,0.9914,0.9531,0.9232,0.985,0.9998,63.8,Balanced
MLP,Test,0.9852,0.9407,0.985,0.9603,0.925,0.9754,0.9996,63.8,Balanced
MLP,Train,0.9954,0.8906,0.9953,0.9666,0.8569,0.9912,,33.8,Imbalanced
MLP,Validation,0.9909,0.7823,0.9897,0.9838,0.769,0.984,0.9999,33.8,Imbalanced
MLP,Test,0.9861,0.7662,0.9828,0.9802,0.7601,0.977,0.9999,33.8,Imbalanced
FT-Transformer,Train,0.9579,0.9577,0.9579,0.9577,0.9578,0.9439,,125.0,Balanced
FT-Transformer,Validation,0.9289,0.8073,0.9298,0.7699,0.8829,0.8758,0.9893,125.0,Balanced
FT-Transformer,Test,0.9101,0.8613,0.9102,0.8269,0.9153,0.8515,0.9844,125.0,Balanced
FT-Transformer,Train,0.9219,0.7759,0.9214,0.9116,0.7432,0.8518,,70.1,Imbalanced
FT-Transformer,Validation,0.9079,0.69,0.9058,0.912,0.6757,0.8364,0.9842,70.1,Imbalanced
FT-Transformer,Test,0.8815,0.7115,0.8776,0.8288,0.6853,0.8007,0.9782,70.1,Imbalanced
TabTransformer,Train,0.9986,0.9986,0.9986,0.9987,0.9986,0.9982,,76.1,Balanced
TabTransformer,Validation,0.9894,0.9305,0.9894,0.9315,0.9296,0.9813,0.9995,76.1,Balanced
TabTransformer,Test,0.9884,0.9506,0.9884,0.9498,0.9515,0.9808,0.9997,76.1,Balanced
TabTransformer,Train,0.9971,0.9618,0.9971,0.9948,0.9369,0.9944,,69.0,Imbalanced
TabTransformer,Validation,0.9918,0.9184,0.9916,0.9779,0.8834,0.9856,0.9996,69.0,Imbalanced
TabTransformer,Test,0.9909,0.9408,0.9907,0.9862,0.9105,0.9849,0.9998,69.0,Imbalanced
CNN-BiLSTM-Att,Train,0.9916,0.9916,0.9916,0.9916,0.9915,0.9888,,59.0,Balanced
CNN-BiLSTM-Att,Validation,0.6924,0.5288,0.7026,0.5064,0.6332,0.4803,0.8512,59.0,Balanced
CNN-BiLSTM-Att,Test,0.6474,0.5337,0.6549,0.511,0.5878,0.4332,0.8187,59.0,Balanced
CNN-GRU-MHA,Train,0.9826,0.9827,0.9826,0.9829,0.9826,0.9768,,47.6,Balanced
CNN-GRU-MHA,Validation,0.679,0.5081,0.6903,0.488,0.6355,0.4585,0.8413,47.6,Balanced
CNN-GRU-MHA,Test,0.6312,0.5049,0.6427,0.4866,0.6037,0.4119,0.8093,47.6,Balanced
LSTM,Train,0.9988,0.9988,0.9988,0.9988,0.9988,0.9985,,29.3,Balanced
LSTM,Validation,0.6918,0.5071,0.6851,0.5356,0.5064,0.4398,0.8032,29.3,Balanced
LSTM,Test,0.6459,0.4782,0.6385,0.5074,0.462,0.3953,0.7772,29.3,Balanced
CNN-BiLSTM-Att,Train,0.9944,0.9944,0.9944,0.9944,0.9944,0.9925,,54.2,Balanced
CNN-BiLSTM-Att,Validation,0.7001,0.534,0.7046,0.5151,0.6332,0.4807,0.8456,54.2,Balanced
CNN-BiLSTM-Att,Test,0.6514,0.5268,0.6541,0.5065,0.5813,0.43,0.8106,54.2,Balanced
CNN-BiLSTM-Att,Train,0.8563,0.5966,0.8553,0.614,0.5839,0.7265,,30.8,Imbalanced
CNN-BiLSTM-Att,Validation,0.8055,0.5714,0.8043,0.5695,0.5734,0.6578,0.9294,30.8,Imbalanced
CNN-BiLSTM-Att,Test,0.7586,0.5468,0.7552,0.549,0.5452,0.5963,0.8995,30.8,Imbalanced
CNN-GRU-MHA,Train,0.9941,0.9941,0.9941,0.9942,0.9941,0.9921,,50.9,Balanced
CNN-GRU-MHA,Validation,0.6926,0.5055,0.6975,0.4944,0.6305,0.4667,0.8419,50.9,Balanced
CNN-GRU-MHA,Test,0.6392,0.4918,0.6426,0.4834,0.5732,0.408,0.813,50.9,Balanced
CNN-GRU-MHA,Train,0.8619,0.6022,0.8607,0.6184,0.5897,0.7365,,64.2,Imbalanced
CNN-GRU-MHA,Validation,0.8074,0.5726,0.8062,0.5709,0.5743,0.6612,0.9288,64.2,Imbalanced
CNN-GRU-MHA,Test,0.759,0.5484,0.7541,0.5531,0.5448,0.5943,0.8992,64.2,Imbalanced
LSTM,Train,0.9988,0.9988,0.9988,0.9988,0.9988,0.9984,,28.6,Balanced
LSTM,Validation,0.6907,0.4944,0.6836,0.5332,0.4789,0.4374,0.821,28.6,Balanced
LSTM,Test,0.6452,0.4909,0.6371,0.5288,0.4716,0.3924,0.7892,28.6,Balanced
LSTM,Train,0.8547,0.5962,0.8536,0.6102,0.5852,0.7231,,61.4,Imbalanced
LSTM,Validation,0.7916,0.5642,0.7914,0.5587,0.5702,0.6358,0.9209,61.4,Imbalanced
LSTM,Test,0.729,0.531,0.7297,0.5209,0.5455,0.5592,0.883,61.4,Imbalanced
